Data,Preço BTC (R$),Investimento (R$),BTC Comprado,BTC Total,Total Investido (R$)
2025-03-31 00:00:00,473594.0,3.0,6.33453971122945e-06,6.33453971122945e-06,3.0
2025-03-31 01:00:00,475087.0,3.0,6.314632898816427e-06,1.2649172610045877e-05,6.0
2025-03-31 02:00:00,474850.0,3.0,6.317784563546383e-06,1.896695717359226e-05,9.0
2025-03-31 03:00:00,472520.0,3.0,6.348937611106408e-06,2.5315894784698667e-05,12.0
2025-03-31 04:00:00,474495.0,3.0,6.322511301488952e-06,3.1638406086187617e-05,15.0
2025-03-31 05:00:00,476316.0,3.0,6.298339757639886e-06,3.7936745843827505e-05,18.0
2025-03-31 06:00:00,475523.0,3.0,6.308843105380812e-06,4.424558894920832e-05,21.0
2025-03-31 07:00:00,474593.0,3.0,6.321205748925922e-06,5.056679469813424e-05,24.0
2025-03-31 08:00:00,474659.0,3.0,6.320326803031229e-06,5.688712150116547e-05,27.0
2025-03-31 09:00:00,472232.0,3.0,6.352809635941656e-06,6.323993113710712e-05,30.0
2025-03-31 10:00:00,476382.0,3.0,6.2974671587087675e-06,6.953739829581589e-05,33.0
2025-03-31 11:00:00,476702.0,3.0,6.2932398018049015e-06,7.58306380976208e-05,36.0
2025-03-31 12:00:00,478167.0,3.0,6.273958679708136e-06,8.210459677732894e-05,39.0
2025-03-31 13:00:00,475677.0,3.0,6.306800623111901e-06,8.841139740044085e-05,42.0
2025-03-31 14:00:00,479961.0,3.0,6.250507853763118e-06,9.466190525420396e-05,45.0
2025-03-31 15:00:00,480710.0,3.0,6.2407688627238874e-06,0.00010090267411692785,48.0
2025-03-31 16:00:00,478537.0,3.0,6.269107717898511e-06,0.00010717178183482637,51.0
2025-03-31 17:00:00,475173.0,3.0,6.313490034155981e-06,0.00011348527186898235,54.0
2025-03-31 18:00:00,477927.0,3.0,6.277109265640987e-06,0.00011976238113462334,57.0
2025-03-31 19:00:00,472924.0,3.0,6.3435139684177585e-06,0.0001261058951030411,60.0
2025-03-31 20:00:00,472964.0,3.0,6.342977478201301e-06,0.0001324488725812424,63.0
2025-03-31 21:00:00,472841.0,3.0,6.344627475197794e-06,0.0001387935000564402,66.0
2025-03-31 22:00:00,472522.0,3.0,6.348910738547623e-06,0.00014514241079498783,69.0
2025-03-31 23:00:00,472887.0,3.0,6.344010302672731e-06,0.00015148642109766056,72.0
2025-04-01 00:00:00,473634.0,3.0,6.334004737835544e-06,0.0001578204258354961,75.0
2025-04-01 01:00:00,473880.0,3.0,6.330716637123322e-06,0.00016415114247261942,78.0
2025-04-01 02:00:00,475773.0,3.0,6.305528056447087e-06,0.0001704566705290665,81.0
2025-04-01 03:00:00,475103.0,3.0,6.314420241505526e-06,0.000176771090770572,84.0
2025-04-01 04:00:00,475656.0,3.0,6.307079065543166e-06,0.00018307816983611518,87.0
2025-04-01 05:00:00,475324.0,3.0,6.3114843769723385e-06,0.00018938965421308752,90.0
2025-04-01 06:00:00,477900.0,3.0,6.2774639045825486e-06,0.00019566711811767006,93.0
2025-04-01 07:00:00,477899.0,3.0,6.277477040127726e-06,0.0002019445951577978,96.0
2025-04-01 08:00:00,481400.0,3.0,6.2318238471125885e-06,0.00020817641900491038,99.0
2025-04-01 09:00:00,483296.0,3.0,6.207376018009667e-06,0.00021438379502292004,102.0
2025-04-01 10:00:00,482065.0,3.0,6.2232271581633186e-06,0.00022060702218108336,105.0
2025-04-01 11:00:00,480708.0,3.0,6.240794827629247e-06,0.0002268478170087126,108.0
2025-04-01 12:00:00,480287.0,3.0,6.246265253900272e-06,0.00023309408226261286,111.0
2025-04-01 13:00:00,480341.0,3.0,6.245563047918042e-06,0.0002393396453105309,114.0
2025-04-01 14:00:00,480903.0,3.0,6.238264265350809e-06,0.0002455779095758817,117.0
2025-04-01 15:00:00,486691.0,3.0,6.164075357875942e-06,0.00025174198493375764,120.0
2025-04-01 16:00:00,485661.0,3.0,6.177148257735334e-06,0.000257919133191493,123.0
2025-04-01 17:00:00,485503.0,3.0,6.179158522192448e-06,0.0002640982917136854,126.0
2025-04-01 18:00:00,485146.0,3.0,6.183705523698021e-06,0.0002702819972373834,129.0
2025-04-01 19:00:00,484161.0,3.0,6.196285946203845e-06,0.0002764782831835873,132.0
2025-04-01 20:00:00,485632.0,3.0,6.17751713231418e-06,0.0002826558003159015,135.0
2025-04-01 21:00:00,485205.0,3.0,6.182953596933255e-06,0.00028883875391283475,138.0
2025-04-01 22:00:00,484708.0,3.0,6.18929334774751e-06,0.00029502804726058224,141.0
2025-04-01 23:00:00,485056.0,3.0,6.184852882966091e-06,0.0003012129001435483,144.0
2025-04-02 00:00:00,483927.0,3.0,6.199282123130141e-06,0.0003074121822666785,147.0
2025-04-02 01:00:00,485005.0,3.0,6.185503242234616e-06,0.00031359768550891313,150.0
2025-04-02 02:00:00,482247.0,3.0,6.22087851246353e-06,0.0003198185640213767,153.0
2025-04-02 03:00:00,481420.0,3.0,6.2315649536787e-06,0.0003260501289750554,156.0
